,DIAM_CIRCLE_IMAGEunique_values,counts
1644,16.51,10
1645,14.16,10
1646,19.45,10
1647,13.32,10
1648,19.89,10
1649,15.83,10
1650,19.28,10
1651,25.5,10
1652,20.73,10
1653,21.33,10
1654,23.85,10
1655,23.45,10
1656,17.43,10
1657,17.86,10
1658,19.34,10
1659,18.78,10
1660,16.73,10
1661,28.83,9
1662,17.62,9
1663,19.04,9
1664,17.69,9
1665,24.35,9
1666,20.99,9
1667,17.54,9
1668,18.48,9
1669,16.19,9
1670,26.17,9
1671,13.64,9
1672,20.51,9
1673,18.13,9
1674,20.77,9
1675,20.71,9
1676,21.75,9
1677,22.15,9
1678,19.88,9
1679,19.47,9
1680,15.93,9
1681,21.86,9
1682,24.46,9
1683,24.2,9
1684,18.88,9
1685,22.24,9
1686,23.19,9
1687,21.25,9
1688,19.07,9
1689,12.14,9
1690,18.29,9
1691,19.15,9
1692,15.94,9
1693,17.21,9
1694,17.9,9
1695,26.72,9
1696,24.24,9
1697,15.49,9
1698,22.45,9
1699,25.16,9
1700,24.88,9
1701,14.61,9
1702,18.07,9
1703,21.63,9
1704,20.76,9
1705,17.02,9
1706,19.23,9
1707,21.84,9
1708,14.42,9
1709,20.82,9
1710,25.46,9
1711,17.04,9
1712,16.5,9
1713,18.89,9
1714,20.06,9
1715,18.25,9
1716,24.05,9
1717,16.67,9
1718,22.82,9
1719,15.98,9
1720,13.87,9
1721,21.21,9
1722,23.82,9
1723,15.43,9
1724,15.3,9
1725,14.1,9
1726,17.35,9
1727,22.09,9
1728,19.66,9
1729,17.0,9
1730,21.93,9
1731,18.18,9
1732,16.74,9
1733,14.94,9
1734,15.24,9
1735,14.11,9
1736,17.79,9
1737,24.4,9
1738,19.69,9
1739,20.52,9
1740,21.51,9
1741,22.32,9
1742,22.7,9
1743,19.55,9
1744,21.03,9
1745,27.41,9
1746,18.92,9
1747,20.6,9
1748,19.42,9
1749,12.18,9
1750,23.13,9
1751,13.42,9
1752,24.37,9
1753,14.95,9
1754,16.96,9
1755,17.11,9
1756,17.84,9
1757,21.3,9
1758,13.74,9
1759,16.93,9
1760,17.17,9
1761,18.67,9
1762,22.62,9
1763,12.64,9
1764,18.39,9
1765,24.75,9
1766,25.12,9
1767,15.4,9
1768,16.57,9
1769,20.68,9
1770,19.0,9
1771,15.47,9
1772,23.87,9
1773,17.22,9
1774,14.73,9
1775,17.99,9
1776,25.4,9
1777,19.14,8
1778,15.66,8
1779,15.42,8
1780,25.92,8
1781,27.0,8
1782,14.47,8
1783,17.81,8
1784,26.28,8
1785,18.34,8
1786,22.3,8
1787,16.22,8
1788,19.18,8
1789,21.29,8
1790,19.1,8
1791,17.48,8
1792,22.68,8
1793,19.25,8
1794,20.83,8
1795,20.22,8
1796,15.62,8
1797,15.52,8
1798,21.1,8
1799,27.94,8
1800,31.97,8
1801,15.65,8
1802,18.82,8
1803,15.58,8
1804,18.75,8
1805,17.46,8
1806,19.41,8
1807,18.73,8
1808,19.92,8
1809,19.29,8
1810,18.57,8
1811,13.93,8
1812,21.53,8
1813,20.45,8
1814,17.26,8
1815,19.99,8
1816,24.83,8
1817,18.37,8
1818,17.53,8
1819,21.24,8
1820,27.24,8
1821,15.34,8
1822,17.55,8
1823,22.06,8
1824,17.2,8
1825,20.47,8
1826,17.6,8
1827,13.96,8
1828,20.61,8
1829,21.26,8
1830,24.41,8
1831,32.92,8
1832,19.24,8
1833,17.59,8
1834,21.81,8
1835,14.29,8
1836,30.7,8
1837,16.53,8
1838,16.47,8
1839,21.27,8
1840,25.91,8
1841,20.7,8
1842,26.27,8
1843,20.11,8
1844,18.52,8
1845,18.68,8
1846,17.67,8
1847,23.68,8
1848,16.0,8
1849,30.64,8
1850,20.04,8
1851,18.02,8
1852,19.02,8
1853,12.32,8
1854,21.5,8
1855,20.02,8
1856,21.78,8
1857,32.75,8
1858,18.62,8
1859,20.46,8
1860,14.7,8
1861,25.25,8
1862,26.76,8
1863,19.12,8
1864,15.96,8
1865,17.23,8
1866,17.87,8
1867,19.6,8
1868,19.11,8
1869,22.9,8
1870,30.89,8
1871,21.05,8
1872,15.87,8
1873,14.23,8
1874,23.29,8
1875,21.68,8
1876,20.21,8
1877,20.18,8
1878,16.59,8
1879,20.27,8
1880,20.15,8
1881,14.97,8
1882,18.41,8
1883,25.73,8
1884,20.33,8
1885,22.58,8
1886,18.17,8
1887,27.02,8
1888,19.58,8
1889,16.82,8
1890,15.99,8
1891,26.37,8
1892,24.82,8
1893,22.35,8
1894,17.24,8
1895,19.54,8
1896,26.29,8
1897,14.12,8
1898,16.87,8
1899,16.38,8
1900,13.0,8
1901,15.79,8
1902,19.96,8
1903,21.71,8
1904,19.16,8
1905,17.78,8
1906,24.7,8
1907,20.63,8
1908,25.53,8
1909,20.43,8
1910,13.68,8
1911,18.47,7
1912,21.52,7
1913,19.91,7
1914,17.29,7
1915,23.72,7
1916,20.31,7
1917,24.48,7
1918,17.01,7
1919,18.38,7
1920,17.64,7
1921,21.85,7
1922,21.13,7
1923,39.51,7
1924,22.59,7
1925,19.73,7
1926,21.9,7
1927,23.92,7
1928,15.56,7
1929,18.77,7
1930,17.07,7
1931,21.31,7
1932,37.08,7
1933,20.29,7
1934,16.89,7
1935,31.45,7
1936,18.42,7
1937,13.7,7
1938,25.36,7
1939,17.8,7
1940,21.82,7
1941,26.54,7
1942,25.83,7
1943,18.55,7
1944,18.76,7
1945,19.63,7
1946,23.1,7
1947,23.39,7
1948,27.96,7
1949,30.4,7
1950,17.06,7
1951,28.36,7
1952,42.12,7
1953,24.63,7
1954,26.12,7
1955,28.27,7
1956,17.66,7
1957,23.56,7
1958,20.92,7
1959,20.81,7
1960,19.05,7
1961,29.28,7
1962,31.56,7
1963,29.15,7
1964,24.14,7
1965,24.8,7
1966,24.04,7
1967,21.55,7
1968,33.6,7
1969,24.09,7
1970,22.5,7
1971,22.28,7
1972,14.34,7
1973,27.13,7
1974,18.87,7
1975,19.35,7
1976,29.49,7
1977,14.82,7
1978,17.05,7
1979,20.4,7
1980,27.17,7
1981,22.93,7
1982,26.0,7
1983,22.96,7
1984,16.99,7
1985,22.6,7
1986,17.41,7
1987,15.73,7
1988,22.77,7
1989,24.93,7
1990,19.17,7
1991,17.93,7
1992,26.96,7
1993,30.3,7
1994,18.49,7
1995,17.89,7
1996,28.3,7
1997,26.1,7
1998,26.06,7
1999,25.04,7
2000,22.69,7
2001,24.01,7
2002,23.8,7
2003,23.69,7
2004,19.74,7
2005,17.4,7
2006,23.12,7
2007,21.83,7
2008,16.98,7
2009,15.8,7
2010,23.98,7
2011,14.44,7
2012,23.08,7
2013,21.69,7
2014,26.23,7
2015,21.17,7
2016,15.04,7
2017,20.93,7
2018,19.3,7
2019,27.55,7
2020,23.44,7
2021,21.62,7
2022,27.45,7
2023,24.31,7
2024,21.15,7
2025,25.45,7
2026,22.05,7
2027,37.13,7
2028,22.14,7
2029,23.09,7
2030,16.02,7
2031,21.02,7
2032,25.28,7
2033,22.48,7
2034,19.5,7
2035,13.92,7
2036,20.07,7
2037,21.32,7
2038,20.88,7
2039,23.05,7
2040,23.34,7
2041,34.55,7
2042,36.34,7
2043,15.61,7
2044,17.82,7
2045,17.38,7
2046,22.1,7
2047,17.37,7
2048,18.54,7
2049,19.82,7
2050,17.16,7
2051,18.61,7
2052,25.8,7
2053,24.74,7
2054,27.74,7
2055,20.56,7
2056,16.35,7
2057,21.16,7
2058,22.88,7
2059,24.92,7
2060,22.38,7
2061,22.4,7
2062,25.95,7
2063,23.57,7
2064,25.27,7
2065,24.23,7
2066,19.9,7
2067,16.97,7
2068,20.05,7
2069,25.66,7
2070,30.59,7
2071,22.99,6
2072,23.24,6
2073,27.3,6
2074,26.78,6
2075,32.48,6
2076,29.77,6
2077,24.28,6
2078,26.97,6
2079,38.81,6
2080,28.6,6
2081,26.04,6
2082,27.98,6
2083,16.63,6
2084,29.4,6
2085,24.43,6
2086,28.34,6
2087,25.84,6
2088,39.55,6
2089,20.65,6
2090,21.49,6
2091,18.98,6
2092,22.23,6
2093,26.89,6
2094,17.1,6
2095,20.75,6
2096,28.66,6
2097,25.68,6
2098,21.18,6
2099,26.07,6
2100,28.1,6
2101,18.35,6
2102,28.7,6
2103,16.84,6
2104,36.08,6
2105,22.83,6
2106,28.17,6
2107,14.24,6
2108,17.32,6
2109,19.84,6
2110,26.77,6
2111,28.71,6
2112,22.29,6
2113,26.82,6
2114,20.74,6
2115,19.38,6
2116,22.54,6
2117,20.37,6
2118,25.7,6
2119,20.9,6
2120,49.63,6
2121,23.4,6
2122,25.01,6
2123,25.52,6
2124,24.06,6
2125,15.82,6
2126,25.23,6
2127,20.85,6
2128,18.04,6
2129,25.24,6
2130,21.89,6
2131,23.04,6
2132,19.09,6
2133,24.1,6
2134,17.73,6
2135,18.66,6
2136,20.12,6
2137,19.93,6
2138,32.96,6
2139,22.01,6
2140,23.11,6
2141,31.93,6
2142,23.46,6
2143,23.59,6
2144,18.99,6
2145,19.01,6
2146,24.38,6
2147,16.23,6
2148,32.71,6
2149,26.22,6
2150,23.7,6
2151,21.4,6
2152,21.14,6
2153,20.72,6
2154,19.86,6
2155,27.11,6
2156,33.88,6
2157,16.69,6
2158,24.9,6
2159,26.16,6
2160,21.22,6
2161,26.95,6
2162,28.45,6
2163,24.34,6
2164,43.16,6
2165,21.79,6
2166,28.52,6
2167,17.52,6
2168,35.08,6
2169,25.13,6
2170,20.41,6
2171,31.46,6
2172,21.41,6
2173,29.19,6
2174,21.38,6
2175,19.22,6
2176,20.54,6
2177,22.74,6
2178,19.49,6
2179,19.4,6
2180,29.06,6
2181,19.08,6
2182,26.99,6
2183,14.33,6
2184,19.13,6
2185,33.4,6
2186,23.76,6
2187,21.35,6
2188,24.53,6
2189,18.56,6
2190,23.43,6
2191,21.12,6
2192,17.36,6
2193,20.49,6
2194,29.79,6
2195,23.63,6
2196,25.32,6
2197,35.58,6
2198,27.79,6
2199,34.16,6
2200,20.39,6
2201,21.6,6
2202,20.5,6
2203,24.27,6
2204,19.39,6
2205,20.79,6
2206,20.36,6
2207,21.0,6
2208,19.37,6
2209,20.48,6
2210,29.34,6
2211,22.52,6
2212,30.66,6
2213,22.81,6
2214,29.48,6
2215,24.64,6
2216,36.56,6
2217,23.23,6
2218,28.73,6
2219,16.15,6
2220,20.95,6
2221,29.01,6
2222,16.32,6
2223,33.95,6
2224,17.65,6
2225,30.88,6
2226,20.25,6
2227,20.69,6
2228,18.33,6
2229,23.9,6
2230,20.16,6
2231,27.49,6
2232,23.83,6
2233,28.59,6
2234,26.58,6
2235,20.94,6
2236,24.22,6
2237,28.31,6
2238,23.06,6
2239,28.25,6
2240,22.21,6
2241,26.39,6
2242,25.19,6
2243,29.44,6
2244,18.86,6
2245,28.72,6
2246,26.51,6
2247,21.46,6
2248,34.02,6
2249,19.36,6
2250,20.58,6
2251,18.23,6
2252,19.81,6
2253,28.77,6
2254,16.75,6
2255,13.44,6
2256,23.14,6
2257,17.47,6
2258,22.72,6
2259,24.67,6
2260,18.44,6
2261,23.25,6
2262,28.95,6
2263,22.19,6
2264,17.51,6
2265,18.84,6
2266,18.58,6
2267,28.21,6
2268,28.53,6
2269,22.2,6
2270,26.79,6
2271,41.52,6
2272,19.21,6
2273,26.21,6
2274,27.27,6
2275,25.44,5
2276,29.84,5
2277,25.75,5
2278,29.16,5
2279,24.87,5
2280,44.04,5
2281,26.81,5
2282,19.76,5
2283,25.3,5
2284,26.4,5
2285,20.3,5
2286,23.81,5
2287,37.96,5
2288,22.33,5
2289,18.65,5
2290,40.3,5
2291,35.99,5
2292,23.86,5
2293,31.43,5
2294,23.79,5
2295,39.54,5
2296,29.05,5
2297,24.68,5
2298,24.99,5
2299,23.53,5
2300,23.47,5
2301,26.42,5
2302,25.96,5
2303,30.62,5
2304,19.95,5
2305,25.71,5
2306,41.43,5
2307,15.59,5
2308,31.88,5
2309,23.61,5
2310,29.3,5
2311,34.74,5
2312,27.59,5
2313,41.87,5
2314,22.53,5
2315,26.14,5
2316,31.6,5
2317,20.62,5
2318,20.28,5
2319,16.71,5
2320,32.67,5
2321,25.59,5
2322,26.24,5
2323,22.94,5
2324,32.18,5
2325,25.33,5
2326,16.29,5
2327,29.02,5
2328,25.78,5
2329,42.21,5
2330,24.47,5
2331,21.11,5
2332,37.29,5
2333,31.87,5
2334,21.64,5
2335,24.0,5
2336,25.43,5
2337,29.5,5
2338,28.86,5
2339,28.64,5
2340,24.36,5
2341,33.65,5
2342,20.78,5
2343,34.11,5
2344,27.28,5
2345,23.88,5
2346,21.65,5
2347,24.81,5
2348,27.33,5
2349,34.61,5
2350,38.49,5
2351,20.34,5
2352,17.88,5
2353,38.23,5
2354,23.94,5
2355,30.92,5
2356,28.44,5
2357,22.61,5
2358,27.99,5
2359,36.48,5
2360,26.34,5
2361,33.28,5
2362,33.76,5
2363,19.44,5
2364,23.6,5
2365,30.21,5
2366,33.35,5
2367,22.04,5
2368,34.7,5
2369,34.98,5
2370,19.51,5
2371,31.11,5
2372,36.54,5
2373,23.18,5
2374,19.46,5
2375,29.33,5
2376,23.07,5
2377,27.68,5
2378,25.85,5
2379,30.78,5
2380,24.79,5
2381,29.31,5
2382,22.08,5
2383,32.32,5
2384,24.86,5
2385,20.96,5
2386,22.98,5
2387,25.55,5
2388,26.86,5
2389,20.0,5
2390,31.73,5
2391,30.84,5
2392,20.09,5
2393,23.95,5
2394,24.49,5
2395,37.22,5
2396,35.66,5
2397,20.57,5
2398,26.32,5
2399,31.51,5
2400,33.02,5
2401,22.41,5
2402,17.77,5
2403,23.41,5
2404,21.87,5
2405,16.11,5
2406,29.46,5
2407,22.13,5
2408,38.32,5
2409,26.35,5
2410,23.66,5
2411,34.92,5
2412,29.88,5
2413,33.18,5
2414,24.71,5
2415,30.42,5
2416,19.68,5
2417,30.46,5
2418,20.13,5
2419,18.64,5
2420,28.99,5
2421,16.91,5
2422,24.66,5
2423,27.92,5
2424,27.64,5
2425,22.8,5
2426,23.77,5
2427,45.33,5
2428,19.83,5
2429,45.95,5
2430,23.37,5
2431,26.63,5
2432,33.63,5
2433,30.2,5
2434,27.47,5
2435,25.37,5
2436,19.56,5
2437,26.55,5
2438,25.69,5
2439,23.2,5
2440,29.8,5
2441,32.84,5
2442,41.48,5
2443,20.55,5
2444,25.15,5
2445,23.52,5
2446,31.58,5
2447,22.25,5
2448,37.31,5
2449,21.2,5
2450,23.26,5
2451,34.77,5
2452,40.67,5
2453,34.2,5
2454,21.88,5
2455,33.31,5
2456,25.02,5
2457,34.73,5
2458,20.64,5
2459,30.03,5
2460,21.08,5
2461,22.47,5
2462,17.91,5
2463,30.02,5
2464,28.43,5
2465,32.76,5
2466,25.82,5
2467,19.77,5
2468,22.71,5
2469,19.48,5
2470,32.73,5
2471,32.15,5
2472,20.24,5
2473,22.49,5
2474,19.7,5
2475,39.32,5
2476,21.76,5
2477,31.72,5
2478,24.54,5
2479,28.02,5
2480,28.2,5
2481,19.78,5
2482,21.54,5
2483,31.4,5
2484,28.03,5
2485,31.23,5
2486,21.23,5
2487,25.6,5
2488,28.87,5
2489,23.55,5
2490,19.57,5
2491,31.38,5
2492,23.15,5
2493,27.36,5
2494,37.1,5
2495,26.7,5
2496,25.39,5
2497,27.82,5
2498,36.27,5
2499,27.37,5
2500,29.54,5
2501,21.56,5
2502,27.18,5
2503,28.94,5
2504,21.92,5
2505,22.02,5
2506,26.45,5
2507,20.38,5
2508,28.09,5
2509,30.28,5
2510,30.24,5
2511,21.45,5
2512,35.35,5
2513,26.71,5
2514,28.14,5
2515,22.79,5
2516,22.73,5
2517,21.94,5
2518,20.98,5
2519,21.04,5
2520,28.57,5
2521,27.87,5
2522,30.44,5
2523,17.72,5
2524,23.93,5
2525,30.61,5
2526,24.78,5
2527,28.58,5
2528,25.64,5
2529,21.95,5
2530,25.86,5
2531,21.57,5
2532,25.54,5
2533,24.42,5
2534,26.53,5
2535,26.47,5
2536,26.84,4
2537,27.29,4
2538,26.26,4
2539,26.65,4
2540,33.34,4
2541,37.56,4
2542,31.79,4
2543,27.46,4
2544,24.39,4
2545,28.38,4
2546,24.11,4
2547,38.54,4
2548,22.67,4
2549,27.66,4
2550,27.56,4
2551,33.1,4
2552,22.86,4
2553,38.29,4
2554,22.89,4
2555,35.63,4
2556,22.64,4
2557,43.91,4
2558,29.97,4
2559,29.55,4
2560,17.31,4
2561,22.43,4
2562,40.68,4
2563,40.02,4
2564,48.99,4
2565,28.24,4
2566,36.05,4
2567,28.01,4
2568,26.59,4
2569,50.87,4
2570,27.12,4
2571,43.32,4
2572,53.74,4
2573,27.76,4
2574,31.63,4
2575,33.01,4
2576,24.85,4
2577,18.7,4
2578,21.34,4
2579,28.84,4
2580,29.69,4
2581,29.2,4
2582,22.34,4
2583,29.96,4
2584,28.16,4
2585,28.79,4
2586,30.55,4
2587,42.73,4
2588,24.3,4
2589,36.03,4
2590,31.31,4
2591,33.49,4
2592,19.8,4
2593,18.74,4
2594,34.53,4
2595,18.3,4
2596,47.85,4
2597,34.72,4
2598,19.2,4
2599,31.5,4
2600,36.71,4
2601,36.73,4
2602,54.16,4
2603,25.62,4
2604,30.06,4
2605,31.12,4
2606,37.47,4
2607,21.47,4
2608,30.76,4
2609,55.51,4
2610,24.84,4
2611,28.97,4
2612,21.74,4
2613,29.25,4
2614,24.12,4
2615,24.16,4
2616,30.58,4
2617,29.64,4
2618,31.84,4
2619,28.28,4
2620,39.87,4
2621,39.0,4
2622,33.25,4
2623,25.17,4
2624,30.81,4
2625,30.67,4
2626,31.92,4
2627,27.23,4
2628,38.36,4
2629,35.82,4
2630,35.81,4
2631,22.97,4
2632,26.9,4
2633,22.27,4
2634,26.48,4
2635,33.44,4
2636,44.71,4
2637,47.2,4
2638,42.42,4
2639,20.44,4
2640,28.47,4
2641,34.64,4
2642,39.41,4
2643,39.38,4
2644,24.32,4
2645,37.24,4
2646,40.74,4
2647,35.91,4
2648,27.73,4
2649,22.87,4
2650,33.41,4
2651,28.56,4
2652,26.36,4
2653,29.14,4
2654,35.76,4
2655,29.35,4
2656,44.16,4
2657,24.07,4
2658,22.63,4
2659,47.55,4
2660,30.33,4
2661,21.72,4
2662,31.54,4
2663,29.51,4
2664,33.23,4
2665,30.86,4
2666,26.01,4
2667,36.14,4
2668,22.92,4
2669,35.69,4
2670,29.94,4
2671,14.93,4
2672,28.18,4
2673,25.93,4
2674,22.46,4
2675,25.79,4
2676,32.06,4
2677,31.33,4
2678,27.9,4
2679,28.51,4
2680,26.8,4
2681,20.2,4
2682,31.53,4
2683,34.82,4
2684,30.01,4
2685,49.91,4
2686,25.03,4
2687,27.88,4
2688,18.91,4
2689,29.22,4
2690,20.8,4
2691,32.24,4
2692,34.97,4
2693,34.03,4
2694,30.34,4
2695,25.88,4
2696,48.42,4
2697,26.62,4
2698,37.63,4
2699,47.79,4
2700,29.6,4
2701,25.57,4
2702,53.54,4
2703,37.93,4
2704,37.38,4
2705,40.48,4
2706,21.43,4
2707,32.08,4
2708,40.2,4
2709,44.61,4
2710,32.68,4
2711,18.53,4
2712,37.09,4
2713,36.18,4
2714,16.86,4
2715,19.67,4
2716,21.97,4
2717,40.98,4
2718,23.28,4
2719,23.58,4
2720,42.2,4
2721,29.81,4
2722,32.61,4
2723,32.89,4
2724,41.12,4
2725,29.89,4
2726,30.47,4
2727,39.4,4
2728,31.39,4
2729,27.09,4
2730,29.09,4
2731,26.5,4
2732,35.03,4
2733,40.9,4
2734,23.38,4
2735,27.81,4
2736,31.0,4
2737,33.32,4
2738,20.26,4
2739,26.05,4
2740,24.29,4
2741,40.26,4
2742,40.08,4
2743,39.76,4
2744,21.42,4
2745,30.65,4
2746,23.33,4
2747,23.17,4
2748,27.52,4
2749,36.64,4
2750,24.6,4
2751,34.66,4
2752,27.4,4
2753,38.33,4
2754,37.54,4
2755,41.23,4
2756,26.19,4
2757,23.22,4
2758,23.78,4
2759,54.66,4
2760,29.12,4
2761,25.76,4
2762,17.42,4
2763,27.72,4
2764,25.61,4
2765,30.53,4
2766,28.33,4
2767,48.81,4
2768,49.51,4
2769,28.19,4
2770,29.56,4
2771,32.95,4
2772,36.26,4
2773,29.57,4
2774,27.93,4
2775,41.09,4
2776,24.02,4
2777,30.0,4
2778,25.56,4
2779,41.4,4
2780,32.3,4
2781,36.98,4
2782,23.31,4
2783,21.06,4
2784,27.97,4
2785,28.06,4
2786,34.71,4
2787,31.91,4
2788,27.57,4
2789,40.05,4
2790,22.66,4
2791,26.31,4
2792,28.37,4
2793,37.89,4
2794,30.29,4
2795,36.83,4
2796,36.31,4
2797,43.57,4
2798,29.08,4
2799,21.59,4
2800,27.22,4
2801,32.85,4
2802,36.46,4
2803,25.49,4
2804,35.15,4
2805,26.83,4
2806,43.03,4
2807,26.67,4
2808,30.35,4
2809,26.3,4
2810,25.42,4
2811,31.26,4
2812,26.69,4
2813,20.01,4
2814,20.42,4
2815,27.42,4
2816,18.27,4
2817,27.85,4
2818,29.92,4
2819,41.46,4
2820,31.13,4
2821,25.98,4
2822,30.79,4
2823,31.02,4
2824,39.33,4
2825,22.31,4
2826,24.97,4
2827,24.94,4
2828,40.75,4
2829,54.64,4
2830,27.03,4
2831,29.29,4
2832,26.61,4
2833,27.06,4
2834,35.71,4
2835,16.7,4
2836,22.07,4
2837,44.58,4
2838,36.21,4
2839,39.5,4
2840,33.45,4
2841,21.98,4
2842,28.93,4
2843,21.36,4
2844,40.84,4
2845,26.18,4
2846,25.29,4
2847,16.42,4
2848,32.74,4
2849,30.77,4
2850,29.07,4
2851,16.65,4
2852,29.21,4
2853,25.81,4
2854,33.21,4
2855,24.03,4
2856,22.55,4
2857,25.9,4
2858,20.1,4
2859,30.43,4
2860,40.95,4
2861,28.54,4
2862,36.22,4
2863,20.84,4
2864,22.42,4
2865,28.96,4
2866,33.72,4
2867,32.87,4
2868,26.2,4
2869,32.21,4
2870,22.36,4
2871,33.29,4
2872,27.89,4
2873,34.12,4
2874,36.81,4
2875,22.51,4
2876,43.83,4
2877,23.3,4
2878,24.77,4
2879,28.4,4
2880,35.24,4
2881,28.65,4
2882,26.92,4
2883,28.67,4
2884,25.38,4
2885,26.46,4
2886,29.42,4
2887,24.5,4
2888,18.28,4
2889,38.0,4
2890,24.19,4
2891,27.7,4
2892,41.55,4
2893,36.9,3
2894,31.24,3
2895,28.92,3
2896,24.15,3
2897,21.61,3
2898,45.46,3
2899,44.38,3
2900,29.86,3
2901,44.37,3
2902,25.94,3
2903,32.51,3
2904,32.13,3
2905,34.94,3
2906,39.42,3
2907,25.41,3
2908,39.08,3
2909,35.87,3
2910,31.16,3
2911,52.07,3
2912,34.33,3
2913,37.48,3
2914,39.88,3
2915,35.72,3
2916,40.22,3
2917,29.85,3
2918,21.19,3
2919,58.77,3
2920,46.78,3
2921,26.93,3
2922,50.74,3
2923,43.69,3
2924,52.38,3
2925,33.37,3
2926,43.85,3
2927,27.43,3
2928,35.46,3
2929,52.35,3
2930,35.13,3
2931,22.37,3
2932,35.7,3
2933,34.44,3
2934,29.75,3
2935,49.21,3
2936,36.04,3
2937,32.97,3
2938,15.51,3
2939,27.51,3
2940,51.01,3
2941,37.98,3
2942,37.77,3
2943,29.68,3
2944,30.15,3
2945,43.55,3
2946,39.84,3
2947,47.87,3
2948,36.24,3
2949,33.16,3
2950,33.84,3
2951,52.92,3
2952,20.08,3
2953,29.1,3
2954,34.42,3
2955,23.21,3
2956,34.58,3
2957,70.88,3
2958,39.67,3
2959,41.62,3
2960,37.73,3
2961,44.87,3
2962,30.72,3
2963,25.21,3
2964,23.97,3
2965,35.09,3
2966,25.87,3
2967,37.8,3
2968,46.89,3
2969,26.57,3
2970,46.42,3
2971,30.91,3
2972,33.51,3
2973,37.7,3
2974,29.43,3
2975,31.32,3
2976,24.44,3
2977,34.51,3
2978,30.07,3
2979,32.65,3
2980,36.82,3
2981,19.31,3
2982,31.49,3
2983,29.99,3
2984,26.38,3
2985,42.14,3
2986,36.53,3
2987,38.08,3
2988,38.04,3
2989,46.83,3
2990,78.09,3
2991,46.82,3
2992,38.1,3
2993,23.03,3
2994,23.16,3
2995,42.79,3
2996,34.83,3
2997,36.51,3
2998,34.17,3
2999,28.85,3
3000,33.47,3
3001,47.62,3
3002,38.63,3
3003,30.17,3
3004,38.62,3
3005,35.2,3
3006,60.86,3
3007,28.22,3
3008,30.98,3
3009,30.73,3
3010,38.85,3
3011,43.2,3
3012,26.85,3
3013,44.62,3
3014,47.94,3
3015,36.47,3
3016,46.14,3
3017,34.99,3
3018,43.96,3
3019,45.37,3
3020,48.84,3
3021,29.66,3
3022,41.31,3
3023,30.32,3
3024,25.1,3
3025,21.48,3
3026,45.85,3
3027,39.25,3
3028,40.69,3
3029,31.99,3
3030,37.4,3
3031,20.87,3
3032,39.64,3
3033,42.33,3
3034,34.22,3
3035,22.11,3
3036,26.88,3
3037,43.76,3
3038,28.62,3
3039,37.17,3
3040,42.58,3
3041,42.45,3
3042,37.94,3
3043,41.83,3
3044,27.15,3
3045,39.75,3
3046,37.44,3
3047,30.41,3
3048,28.15,3
3049,25.77,3
3050,33.85,3
3051,36.94,3
3052,54.02,3
3053,46.51,3
3054,29.27,3
3055,26.66,3
3056,33.78,3
3057,29.23,3
3058,37.23,3
3059,33.14,3
3060,35.33,3
3061,45.32,3
3062,44.97,3
3063,41.6,3
3064,29.26,3
3065,28.0,3
3066,45.92,3
3067,38.27,3
3068,31.42,3
3069,32.8,3
3070,44.54,3
3071,57.76,3
3072,49.46,3
3073,65.02,3
3074,45.0,3
3075,26.64,3
3076,41.15,3
3077,50.24,3
3078,26.25,3
3079,36.32,3
3080,18.51,3
3081,27.35,3
3082,24.65,3
3083,37.62,3
3084,33.98,3
3085,45.54,3
3086,23.0,3
3087,19.59,3
3088,30.51,3
3089,41.99,3
3090,35.83,3
3091,27.48,3
3092,32.01,3
3093,62.22,3
3094,48.93,3
3095,25.99,3
3096,48.0,3
3097,36.85,3
3098,37.53,3
3099,35.51,3
3100,47.14,3
3101,20.89,3
3102,55.92,3
3103,37.51,3
3104,34.0,3
3105,25.06,3
3106,38.17,3
3107,39.04,3
3108,38.31,3
3109,30.9,3
3110,31.66,3
3111,31.36,3
3112,58.23,3
3113,18.96,3
3114,36.07,3
3115,38.65,3
3116,36.67,3
3117,51.1,3
3118,30.16,3
3119,31.64,3
3120,31.62,3
3121,27.14,3
3122,38.92,3
3123,30.85,3
3124,25.11,3
3125,25.65,3
3126,56.74,3
3127,29.93,3
3128,39.81,3
3129,33.24,3
3130,33.15,3
3131,31.15,3
3132,40.21,3
3133,34.65,3
3134,58.41,3
3135,87.75,3
3136,30.99,3
3137,29.7,3
3138,46.86,3
3139,33.13,3
3140,28.9,3
3141,23.32,3
3142,40.46,3
3143,24.91,3
3144,40.66,3
3145,29.36,3
3146,31.89,3
3147,39.97,3
3148,56.6,3
3149,36.77,3
3150,30.82,3
3151,43.34,3
3152,37.14,3
3153,30.93,3
3154,46.87,3
3155,48.26,3
3156,41.58,3
3157,34.37,3
3158,24.21,3
3159,30.75,3
3160,37.42,3
3161,45.12,3
3162,31.68,3
3163,28.11,3
3164,35.79,3
3165,27.84,3
3166,43.21,3
3167,48.2,3
3168,43.44,3
3169,26.94,3
3170,37.05,3
3171,28.49,3
3172,43.88,3
3173,43.38,3
3174,32.88,3
3175,51.8,3
3176,22.22,3
3177,29.45,3
3178,19.27,3
3179,36.91,3
3180,24.69,3
3181,32.44,3
3182,36.44,3
3183,26.02,3
3184,48.02,3
3185,39.66,3
3186,33.55,3
3187,35.23,3
3188,39.94,3
3189,43.09,3
3190,31.19,3
3191,29.71,3
3192,35.61,3
3193,54.0,3
3194,36.45,3
3195,45.43,3
